INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,23batch15,23batch15,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,706,706,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,707,707,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,708,708,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,709,709,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,710,710,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,711,711,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,712,712,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,713,713,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,714,714,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,715,715,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,716,716,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,717,717,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,718,718,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,719,719,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,720,720,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
