Chemical_index,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
1,Iron(II) tetrafluoroborate hexahydrate,0.04509668,0.0471,4651.162790697675,0
2,Zinc tetrafluoroborate,0.0338902,0.0346,4825.662482566248,0
3,Yittrium(III) trifluoromethanesulfonate,0.071624296,0.0749,4657.004470475586,0
4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0,0,0,0
5,Silver tetrafluoroborate,0.036383823,0.038,6506.7378983236595,0
6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0,0,0,0
7,"Pyridine-2,6-dicarbaldehyde",0,0,0,0
8,"2,2'-(Ethane-1,2-diyl)dianiline",0.0268768,0.0287,3004.1770622183913,0
9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.018763386,0.0194,727.1963955048767,2181.5891865146305
10,"2,2'-Oxydiethanamine",0.02343375,0.024,5120.819331092975,0
11,"4,4'-Methylenedianiline",0.025099716,0.0274,3071.163567481534,0
12,"1,3-Benzenedimethanamine",0.017241654,0.0196,3198.14638,0
13,"Adamantane-1,3-diamine",0,0,0,0
14,"4,4'-(9H-Fluorene-9,9-diyl)dianiline",0.044112504,0.0462,2946.4661539050244,0
15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0,0,0,0
16,"[2,2'-Bipyridine]-4,4'-diamine",0,0,0,0
17,"Naphthalene-1,8-diamine",0.02002812,0.0212,2977.946341,0
18,"4,4'-Oxydianiline",0.025350384,0.0274,3040.7954898566168,0
19,"6-Methyl-1,3,5-triazine-2,4-diamine",0,0,0,0
20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0,0,0,0
21,6-Methylpyridine-2-carboxaldehyde,0.027692604,0.0282,2586.5389906994665,0
22,6-Phenylpicolinaldehyde,0,0,0,0
23,"[2,2'-Bipyridine]-6-carbaldehyde",0,0,0,0
24,2-Quinolinecarboxaldehyde,0.1519205219999999,0.1523,0,10766.827143998362
25,5-Methylpicolinaldehyde,0.02471256,0.026,2384.752260928586,0
26,8-methoxyquinoline-2-carbaldehyde,0,0,0,0
27,"[1,8]Naphthyridine-2-carbaldehyde",0,0,0,0
28,4-Formyl-2-methylthiazole,0.019684368,0.0222,1939.8133584984798,0
29,6-Methoxypyridine-2-carbaldehyde,0.02797656,0.0289,2341.4839661011456,0
30,1-Methyl-2-imidazolecarboxaldehyde,0.02246244,0.0234,2361.2750885478163,0
31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0,0,0,0
32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0,0,0,0
