,chemicalIdx,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
0,1,Iron(II) tetrafluoroborate hexahydrate,0.04786459,0.0525,5184.4171233891275,0.0
1,2,Zinc tetrafluoroborate,0.0319304,0.0401,5592.747559274755,0.0
2,3,Yittrium(III) trifluoromethanesulfonate,0.071624296,0.072,4476.69321594449,0.0
3,4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.0,0.0,0.0,0.0
4,5,Silver tetrafluoroborate,0.0363838229999999,0.0387,6626.598859608568,0.0
5,6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0,0.0,0.0
6,7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0,0.0,0.0
7,8,"2,2'-(Ethane-1,2-diyl)dianiline",0.0268768,0.0276,2889.0343873598467,0.0
8,9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.018763386,0.0211,790.9197909872628,2372.759372961788
9,10,"2,2'-Oxydiethanamine",0.02343375,0.0254,5419.533792073398,0.0
10,11,"4,4'-Methylenedianiline",0.0250997159999999,0.0265,2970.2859320533084,0.0
11,12,",3-Benzenedimethanamine",0.017241654,0.0198,3230.780527204641,0.0
12,13,"Adamantane-1,3-diamine",0.0,0.0,0.0,0.0
13,14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.044112504,0.0443,2825.2911389175883,0.0
14,15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0,0.0,0.0
15,16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0,0.0,0.0
16,17,"Naphthalene-1,8-diamine",0.0200281199999999,0.0226,3174.603174603175,0.0
17,18,"4,4'-Oxydianiline",0.025350384,0.0291,3229.45798375283,0.0
18,19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0,0.0,0.0
19,20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.0,0.0,0.0,0.0
20,21,6-Methylpyridine-2-carboxaldehyde,0.0247125599999999,0.0265,2430.6128813310584,0.0
21,22,6-Phenylpicolinaldehyde,0.0,0.0,0.0,0.0
22,23,"[2,2'-Bipyridine]-6-carbaldehyde",0.0,0.0,0.0,0.0
23,24,2-Quinolinecarboxaldehyde,0.1519205219999999,0.1555,0.0,10993.050695283948
24,25,5-Methylpicolinaldehyde,0.027692604,0.0286,2623.2274870214446,0.0
25,26,8-methoxyquinoline-2-carbaldehyde,0.0,0.0,0.0,0.0
26,27,"[1,8]Naphthyridine-2-carbaldehyde",0.0,0.0,0.0,0.0
27,28,4-Formyl-2-methylthiazole,0.0196843679999999,0.0214,1869.9101744084444,0.0
28,29,6-Methoxypyridine-2-carbaldehyde,0.0279765599999999,0.031,2511.6263996240664,0.0
29,30,1-Methyl-2-imidazolecarboxaldehyde,0.0224624399999999,0.0251,2532.8207146388963,0.0
30,31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.0,0.0,0.0,0.0
31,32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.0,0.0,0.0,0.0
