,chemicalIdx,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
0,1,Iron(II) tetrafluoroborate hexahydrate,0.04786459,0.0584,5767.046857,0
1,2,Zinc tetrafluoroborate,0.0319304,0.0349,4867.503487,0
2,3,Yittrium(III) trifluoromethanesulfonate,0.071624296,0.0722,4489.128475,0
3,4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0,0,0,0
4,5,Silver tetrafluoroborate,0.036383823,0.0438,7499.871578,0
5,6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0,0,0,0
6,7,"Pyridine-2,6-dicarbaldehyde",0,0,0,0
7,8,"2,2'-(Ethane-1,2-diyl)dianiline",0.0268768,0.0274,2868.099356,0
8,9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.018763386,0.0259,970.8446723,2912.534017
9,10,"2,2'-Oxydiethanamine",0.02343375,0.0277,5910.278978,0
10,11,"4,4'-Methylenedianiline",0.025099716,0.0251,2813.365166,0
11,12,",3-Benzenedimethanamine",0.017241654,0.0173,2822.853693,0
12,13,"Adamantane-1,3-diamine",0,0,0,0
13,14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.044112504,0.0451,2876.312198,0
14,15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0,0,0,0
15,16,"[2,2'-Bipyridine]-4,4'-diamine",0,0,0,0
16,17,"Naphthalene-1,8-diamine",0.02002812,0.0223,3132.462424,0
17,18,"4,4'-Oxydianiline",0.025350384,0.0254,2818.839615,0
18,19,"6-Methyl-1,3,5-triazine-2,4-diamine",0,0,0,0
19,20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0,0,0,0
20,21,6-Methylpyridine-2-carboxaldehyde,0.02471256,0.0247,2265.514648,0
21,22,6-Phenylpicolinaldehyde,0,0,0,0
22,23,"[2,2'-Bipyridine]-6-carbaldehyde",0,0,0,0
23,24,2-Quinolinecarboxaldehyde,0.151920522,0.1541,0,10894.07789
24,25,5-Methylpicolinaldehyde,0.027692604,0.0307,2815.842093,0
25,26,8-methoxyquinoline-2-carbaldehyde,0,0,0,0
26,27,"[1,8]Naphthyridine-2-carbaldehyde",0,0,0,0
27,28,4-Formyl-2-methylthiazole,0.019684368,0.0209,1826.220684,0
28,29,6-Methoxypyridine-2-carbaldehyde,0.02797656,0.0289,2341.483966,0
29,30,1-Methyl-2-imidazolecarboxaldehyde,0.02246244,0.026,2623.638987,0
30,31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0,0,0,0
31,32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0,0,0,0
